model,pipeline,split,metric,value,source
Clinical LR,Human-guided,Test,ece_10_equal_width,0.041302,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
Clinical LR,AI-Agent,Test,ece_10_equal_width,0.161595,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,roc_auc,0.90726,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,roc_auc,0.834658,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,roc_auc_ci_low,0.835718,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,roc_auc_ci_low,0.725477,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,roc_auc_ci_high,0.962904,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,roc_auc_ci_high,0.923172,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,pr_auc,0.622926,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,pr_auc,0.457562,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,brier,0.101732,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,brier,0.105808,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
CXR ResNet18,Human-guided,Test,ece_10_equal_width,0.152336,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_最終Test評価比較.csv
CXR ResNet18,AI-Agent,Test,ece_10_equal_width,0.097227,AI-Agent frozen Task C result: results/taskC/evaluation/test_metrics_table.csv
Late Fusion,Human-guided,Validation,roc_auc,0.91256,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Late Fusion,AI-Agent,Validation,roc_auc,0.920509,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Late Fusion,Human-guided,Validation,pr_auc,0.654359,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Late Fusion,AI-Agent,Validation,pr_auc,0.717351,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Late Fusion,Human-guided,Validation,brier,0.075352,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Late Fusion,AI-Agent,Validation,brier,0.089724,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Late Fusion,Human-guided,Validation,ece_10_equal_width,,Human-guided final result artifact: not recorded in the weight-search artefact
